                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8641,                 4.0078,                 1.4436,                0.00132,                   0.14,                0.00106,                0.00042,                 2.0881,                 4.2521,                 1.6652,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.7354,                 2.8341,                 1.3874,                0.26418,                0.46228,                0.28629,                0.14993,                 1.6835,                 2.7331,                 1.4407,             0.00014929,             0.00014929,             0.00014929
                      3,                 1.5613,                 1.8836,                 1.2411,                0.43664,                 0.5875,                0.45311,                0.21736,                 1.8126,                 3.9554,                  1.515,             0.00023107,             0.00023107,             0.00023107
                      4,                 1.5805,                 1.7591,                  1.317,                0.47417,                 0.7725,                0.56047,                0.26095,                  1.772,                  2.458,                 1.5385,             0.00031203,             0.00031203,             0.00031203
                      5,                 1.5105,                 1.6735,                 1.2491,                0.43916,                   0.59,                 0.4816,                0.27128,                 1.6281,                 2.0733,                 1.4409,             0.00039216,             0.00039216,             0.00039216
                      6,                 1.4421,                 1.5217,                 1.2257,                0.50846,                0.64375,                0.51115,                0.27207,                 1.6189,                 2.1325,                 1.4641,             0.00047147,             0.00047147,             0.00047147
                      7,                 1.4744,                 1.6394,                  1.248,                0.52482,                 0.6125,                0.60671,                0.30785,                 1.7949,                 2.2817,                 1.5972,             0.00054995,             0.00054995,             0.00054995
                      8,                 1.4901,                 1.4543,                 1.2748,                0.05728,                0.78375,                0.05881,                0.03362,                 1.5752,                 31.507,                 1.4624,              0.0006276,              0.0006276,              0.0006276
                      9,                 1.5064,                 1.4687,                 1.2702,                0.23629,                0.50032,                0.18429,                0.07635,                 1.9833,                 10.229,                 1.7143,             0.00070443,             0.00070443,             0.00070443
                     10,                 1.5386,                 1.4528,                 1.2832,                0.06102,                0.88875,                 0.0625,                0.02494,                  1.931,                    inf,                 1.6479,             0.00078044,             0.00078044,             0.00078044
                     11,                 1.5036,                 1.3254,                 1.2273,                0.09954,                0.72625,                 0.1013,                0.03611,                    nan,                    nan,                    nan,             0.00085562,             0.00085562,             0.00085562
