                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0245,                0.70474,                 1.0216,                0.62905,                  0.775,                0.78071,                0.44356,                 1.4809,                 1.1521,                 1.4272,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.0005,                0.68466,                 1.0434,                0.56965,                0.81372,                0.76177,                0.42251,                  1.541,                  1.139,                 1.4646,             0.00014973,             0.00014973,             0.00014973
                      3,                 1.0028,                0.63339,                 1.0021,                0.63204,                 0.6725,                0.69506,                0.34335,                 1.7076,                 1.2492,                 1.6055,             0.00023246,             0.00023246,             0.00023246
                      4,                0.96752,                0.66978,                 1.0396,                0.67168,                 0.7525,                0.70783,                0.35761,                 1.6724,                 1.2438,                 1.5776,             0.00031485,             0.00031485,             0.00031485
                      5,                0.99634,                0.68911,                 0.9988,                0.79313,                0.60251,                0.73376,                0.34192,                 1.8384,                 1.3594,                  1.677,             0.00039691,             0.00039691,             0.00039691
                      6,                0.95537,                0.65851,                0.98559,                0.72042,                0.53436,                0.68501,                0.34313,                  1.659,                 1.3919,                 1.5592,             0.00047864,             0.00047864,             0.00047864
                      7,                0.95488,                0.66204,                0.99309,                0.52956,                0.68375,                0.55311,                0.28249,                 1.7375,                 1.7631,                 1.5989,             0.00056005,             0.00056005,             0.00056005
                      8,                0.98608,                0.64966,                 1.0405,                0.49538,                  0.795,                 0.6928,                0.35042,                 1.5817,                 1.3369,                 1.5214,             0.00064112,             0.00064112,             0.00064112
                      9,                0.98287,                 0.6591,                 1.0238,                0.58684,                0.59775,                0.60269,                0.33802,                 1.6845,                 1.3596,                 1.5752,             0.00072186,             0.00072186,             0.00072186
                     10,                0.98627,                0.65802,                 1.0187,                0.79674,                   0.57,                0.70586,                0.37084,                 1.6415,                 1.2619,                 1.5258,             0.00080227,             0.00080227,             0.00080227
                     11,                 1.0142,                0.68444,                 1.0184,                0.56517,                 0.6325,                0.52936,                0.28394,                 1.5458,                 1.4623,                 1.4921,             0.00088236,             0.00088236,             0.00088236
                     12,                 1.0101,                 0.6706,                 1.0485,                0.72371,                 0.4475,                0.56065,                 0.2779,                 1.7445,                 1.5736,                 1.6257,             0.00096211,             0.00096211,             0.00096211
                     13,                 1.0344,                0.69586,                  1.021,                0.64271,                0.55582,                0.66666,                0.33303,                 1.7204,                 1.5132,                 1.6237,              0.0010415,              0.0010415,              0.0010415
                     14,                 1.0114,                0.74542,                 1.0349,                0.58544,                 0.6866,                0.64949,                0.36987,                 1.5093,                 1.4805,                 1.4561,              0.0011206,              0.0011206,              0.0011206
                     15,                 1.0592,                0.74537,                 1.0343,                 0.5993,                   0.63,                0.63919,                0.35566,                 1.5803,                 1.3573,                 1.4748,              0.0011994,              0.0011994,              0.0011994
                     16,                 1.0386,                0.71112,                 1.0422,                0.51543,                0.61875,                0.63825,                 0.2722,                 1.9521,                 1.4865,                 1.8277,              0.0012778,              0.0012778,              0.0012778
                     17,                 1.1138,                0.74642,                 1.0869,                0.55278,                 0.6525,                0.64041,                0.22609,                 2.2044,                 1.7287,                 1.9914,              0.0013559,              0.0013559,              0.0013559
                     18,                 1.0646,                0.75207,                 1.0457,                0.56688,                 0.7019,                0.61625,                0.23083,                 2.1046,                 1.7016,                 1.8611,              0.0014337,              0.0014337,              0.0014337
                     19,                 1.0967,                0.73835,                 1.0815,                 0.6304,                0.64514,                0.68009,                0.31188,                 1.7034,                 1.6419,                 1.5618,              0.0015111,              0.0015111,              0.0015111
                     20,                 1.0587,                0.77537,                 1.0202,                0.61396,                  0.735,                0.72817,                0.31673,                 1.8681,                 1.4561,                 1.7143,              0.0015882,              0.0015882,              0.0015882
                     21,                 1.0607,                0.73104,                 1.0632,                0.52424,                0.88516,                0.69092,                0.28201,                 1.9497,                  1.596,                 1.7945,               0.001601,               0.001601,               0.001601
                     22,                 1.0597,                0.72026,                  1.044,                0.53846,                0.80963,                0.68787,                0.34169,                 1.7181,                 1.5516,                 1.6146,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.0114,                0.69945,                 1.0598,                0.59953,                 0.6925,                0.69741,                0.35473,                 1.7145,                 1.3281,                 1.6147,              0.0015944,              0.0015944,              0.0015944
                     24,                 1.1218,                 0.7345,                 1.0754,                0.58357,                0.69233,                0.67279,                0.32629,                 1.7056,                 1.4629,                 1.6927,              0.0015911,              0.0015911,              0.0015911
                     25,                 1.0971,                0.77306,                 1.0861,                0.64155,                0.68625,                0.70984,                0.34537,                 1.6788,                 1.5794,                 1.6333,              0.0015878,              0.0015878,              0.0015878
                     26,                 1.0205,                0.69592,                 1.0052,                0.66704,                0.68625,                0.72493,                0.35888,                 1.6741,                 1.3782,                 1.6171,              0.0015845,              0.0015845,              0.0015845
                     27,                 1.0197,                 0.7175,                 1.0503,                0.77453,                0.66625,                0.73741,                0.36774,                 1.7247,                 1.2839,                 1.6317,              0.0015812,              0.0015812,              0.0015812
                     28,                 1.0835,                0.80228,                 1.0682,                0.58061,                 0.8416,                0.75525,                0.38034,                 1.6463,                 1.1669,                 1.5101,              0.0015779,              0.0015779,              0.0015779
                     29,                 1.1531,                0.82886,                 1.0738,                0.54793,                0.64375,                0.64339,                0.31709,                 1.6567,                 1.3176,                  1.585,              0.0015746,              0.0015746,              0.0015746
                     30,                  1.043,                0.76791,                 1.0478,                0.58097,                0.71083,                0.62537,                 0.3087,                 1.7077,                 1.2979,                  1.607,              0.0015713,              0.0015713,              0.0015713
                     31,                  1.069,                0.78924,                 1.0521,                0.49979,                 0.6745,                0.56042,                0.26445,                 1.7064,                 1.5429,                 1.5882,               0.001568,               0.001568,               0.001568
                     32,                 1.0793,                0.76717,                 1.0601,                0.72198,                0.54914,                0.54319,                0.26797,                 1.7445,                 1.9368,                 1.5691,              0.0015647,              0.0015647,              0.0015647
                     33,                 1.1349,                0.81628,                 1.1022,                0.67501,                 0.5188,                 0.6346,                0.27978,                 1.8964,                 1.7089,                 1.6566,              0.0015614,              0.0015614,              0.0015614
                     34,                 1.1031,                0.78053,                 1.0862,                0.73039,                0.57693,                0.68196,                0.32542,                 1.8833,                 1.5124,                  1.644,              0.0015581,              0.0015581,              0.0015581
                     35,                 1.1557,                0.82191,                 1.0954,                0.68469,                0.62175,                 0.6433,                0.33428,                  1.766,                 1.4336,                 1.5417,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.1166,                 0.7421,                   1.08,                0.53387,                  0.775,                0.67734,                0.32604,                 1.7967,                 1.3314,                 1.5824,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.1425,                0.79878,                 1.0946,                0.59377,                0.66125,                0.66619,                0.36013,                 1.7277,                 1.2544,                  1.513,              0.0015482,              0.0015482,              0.0015482
                     38,                 1.1455,                0.73623,                 1.0994,                0.53676,                0.83592,                0.67963,                0.37072,                 1.6286,                 1.2115,                  1.463,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.0576,                0.76162,                 1.0318,                0.63161,                0.63569,                0.63074,                0.35658,                 1.5393,                 1.2539,                 1.4066,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.1362,                0.85887,                 1.0758,                0.54861,                 0.6764,                 0.5745,                 0.2843,                 1.8101,                 1.5588,                 1.5947,              0.0015383,              0.0015383,              0.0015383
                     41,                 1.0041,                0.67209,                 1.0706,                0.63631,                0.57299,                0.62547,                0.30508,                 1.7873,                 1.4731,                 1.6168,               0.001535,               0.001535,               0.001535
                     42,                 1.0637,                0.71773,                 1.0256,                0.64766,                0.61055,                0.65588,                0.34727,                 1.6848,                 1.4319,                 1.5882,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.0387,                0.72602,                 1.0511,                0.59052,                0.62856,                0.65162,                0.33021,                 1.6428,                 1.3714,                 1.5507,              0.0015284,              0.0015284,              0.0015284
